"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX13315316","GT3_14_T1_M_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388528","","14337.44","1","141189139","42356741700","GT3_14_T1_M_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315319","GT5_17_T0_M_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388531","","8732.49","1","87636960","26291088000","GT5_17_T0_M_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315284","GT2_18_T1_G_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388496","","10246.35","1","98977739","29693321700","GT2_18_T1_G_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315297","GT4_21_T0_G_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388509","","10265.47","1","101568210","30470463000","GT4_21_T0_G_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315305","GT3_16_T0_M_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388517","","11509.61","1","113478377","34043513100","GT3_16_T0_M_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315293","GT2_15_T0_G_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388505","","10384.66","1","102651278","30795383400","GT2_15_T0_G_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315283","GT2_18_T0_G_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388495","","11354.5","1","111846018","33553805400","GT2_18_T0_G_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315314","GT2_15_T1_M_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388526","","12791.96","1","125580879","37674263700","GT2_15_T1_M_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315289","GT5_06_T0_G_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388501","","8835.43","1","88538712","26561613600","GT5_06_T0_G_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315295","GT3_14_T0_G_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388507","","15582.52","1","151439032","45431709600","GT3_14_T0_G_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315286","GT3_16_T1_G_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388498","","10107.48","1","98078887","29423666100","GT3_16_T1_G_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315312","GT1_16_T1_M_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388524","","11788.27","1","116088097","34826429100","GT1_16_T1_M_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315317","GT4_21_T0_M_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388529","","11473.77","1","112438079","33731423700","GT4_21_T0_M_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315299","GT5_17_T0_G_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388511","","8384.38","1","84413993","25324197900","GT5_17_T0_G_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315303","GT2_18_T0_M_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388515","","10975.48","1","107677452","32303235600","GT2_18_T0_M_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315296","GT3_14_T1_G_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388508","","13020.26","1","128399290","38519787000","GT3_14_T1_G_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315302","GT1_09_T1_M_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388514","","12158.58","1","119818219","35945465700","GT1_09_T1_M_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315285","GT3_16_T0_G_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388497","","10249.88","1","101561248","30468374400","GT3_16_T0_G_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315318","GT4_21_T1_M_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388530","","10447.64","1","104947850","31484355000","GT4_21_T1_M_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315291","GT1_16_T0_G_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388503","","13605.96","1","133626654","40087996200","GT1_16_T0_G_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315288","GT4_21_T1_G_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388500","","11474.2","1","113067415","33920224500","GT4_21_T1_G_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315300","GT5_17_T1_G_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388512","","9727.76","1","97358675","29207602500","GT5_17_T1_G_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315313","GT2_15_T0_M_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388525","","13621.52","1","135068733","40520619900","GT2_15_T0_M_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315306","GT3_16_T1_M_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388518","","11980.63","1","117994476","35398342800","GT3_16_T1_M_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315294","GT2_15_T1_G_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388506","","10600.45","1","103702367","31110710100","GT2_15_T1_G_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315315","GT3_14_T0_M_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388527","","17034.43","1","168235405","50470621500","GT3_14_T0_M_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315287","GT4_21_T0_G_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388499","","10610.3","1","105884797","31765439100","GT4_21_T0_G_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315292","GT1_16_T1_G_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388504","","11801.75","1","115373304","34611991200","GT1_16_T1_G_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315301","GT1_09_T0_M_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388513","","11243.11","1","111688457","33506537100","GT1_09_T0_M_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315310","GT5_06_T1_M_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388522","","11643.42","1","117338871","35201661300","GT5_06_T1_M_R","Bisulfite-Seq","GENOMIC","other"
"SRX24616609","Bisulfite-Seq of 48hg3; gill","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP508865","Comparative DNA methylome analysis of Crassostrea gigas infected by Vibrio alginolyticus","SRS21353775","","10436.86","1","101404219","30421265700","FRAS202415259-1r","Bisulfite-Seq","GENOMIC","PCR"
"SRX24616608","Bisulfite-Seq of 48hg2; gill","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP508865","Comparative DNA methylome analysis of Crassostrea gigas infected by Vibrio alginolyticus","SRS21353774","","9087.07","1","89094469","26728340700","FRAS202415267-1r","Bisulfite-Seq","GENOMIC","PCR"
"SRX24616607","Bisulfite-Seq of 48hg1; gill","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP508865","Comparative DNA methylome analysis of Crassostrea gigas infected by Vibrio alginolyticus","SRS21353773","","7873.31","1","76570590","22971177000","FRAS202415266-1r","Bisulfite-Seq","GENOMIC","PCR"
"SRX24616606","Bisulfite-Seq of 6hg3; gill","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP508865","Comparative DNA methylome analysis of Crassostrea gigas infected by Vibrio alginolyticus","SRS21353772","","10323.63","1","100655626","30196687800","FRAS202415265-1r","Bisulfite-Seq","GENOMIC","PCR"
"SRX24616605","Bisulfite-Seq of 6hg2; gill","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP508865","Comparative DNA methylome analysis of Crassostrea gigas infected by Vibrio alginolyticus","SRS21353771","","8479.28","1","83010001","24903000300","FRAS202415264-1r","Bisulfite-Seq","GENOMIC","PCR"
"SRX24616604","Bisulfite-Seq of 6hg1; gill","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP508865","Comparative DNA methylome analysis of Crassostrea gigas infected by Vibrio alginolyticus","SRS21353770","","8450.74","1","85014463","25504338900","FRAS202415263-1r","Bisulfite-Seq","GENOMIC","PCR"
"SRX24616603","Bisulfite-Seq of 0hg3; gill","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP508865","Comparative DNA methylome analysis of Crassostrea gigas infected by Vibrio alginolyticus","SRS21353769","","8378.93","1","85162460","25548738000","FRAS202415262-1r","Bisulfite-Seq","GENOMIC","PCR"
"SRX24616602","Bisulfite-Seq of 0hg2; gill","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP508865","Comparative DNA methylome analysis of Crassostrea gigas infected by Vibrio alginolyticus","SRS21353768","","8343.38","1","81256431","24376929300","FRAS202415261-1r","Bisulfite-Seq","GENOMIC","PCR"
"SRX24616601","Bisulfite-Seq of 0hg1; gill","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP508865","Comparative DNA methylome analysis of Crassostrea gigas infected by Vibrio alginolyticus","SRS21353767","","9252.67","1","90521013","27156303900","FRAS202415260-1r","Bisulfite-Seq","GENOMIC","PCR"
"ERX11685456","NS.1996.002.NEBNext_methyl_i7_D02---NEBNext_methyl_i5_D02.X30","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064560","Pacific oyster","7241.15","1","73268862","22127196324","NS.1996.002.NEBNext_methyl_i7_D02---NEBNext_methyl_i5_D02.X30","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685466","NS.1996.002.NEBNext_methyl_i7_G02---NEBNext_methyl_i5_G02.XH","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064570","Pacific oyster","8532.57","1","86285288","26058156976","NS.1996.002.NEBNext_methyl_i7_G02---NEBNext_methyl_i5_G02.XH","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685460","NS.1996.002.NEBNext_methyl_i7_E03---NEBNext_methyl_i5_E03.XK","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064564","Pacific oyster","7766.33","1","79561917","24027698934","NS.1996.002.NEBNext_methyl_i7_E03---NEBNext_methyl_i5_E03.XK","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685459","NS.1996.002.NEBNext_methyl_i7_E02---NEBNext_methyl_i5_E02.XG","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064563","Pacific oyster","9010.63","1","90755093","27408038086","NS.1996.002.NEBNext_methyl_i7_E02---NEBNext_methyl_i5_E02.XG","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685457","NS.1996.002.NEBNext_methyl_i7_D03---NEBNext_methyl_i5_D03.X34","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064561","Pacific oyster","6479.33","1","65523131","19787985562","NS.1996.002.NEBNext_methyl_i7_D03---NEBNext_methyl_i5_D03.X34","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685461","NS.1996.002.NEBNext_methyl_i7_F01---NEBNext_methyl_i5_F01.X39","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064565","Pacific oyster","8130.5","1","82766869","24995594438","NS.1996.002.NEBNext_methyl_i7_F01---NEBNext_methyl_i5_F01.X39","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685452","NS.1996.002.NEBNext_methyl_i7_C01---NEBNext_methyl_i5_C01.XB","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064556","Pacific oyster","7954.2","1","80147947","24204679994","NS.1996.002.NEBNext_methyl_i7_C01---NEBNext_methyl_i5_C01.XB","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685465","NS.1996.002.NEBNext_methyl_i7_G01---NEBNext_methyl_i5_G01.XD","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064569","Pacific oyster","8675.56","1","88207556","26638681912","NS.1996.002.NEBNext_methyl_i7_G01---NEBNext_methyl_i5_G01.XD","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685446","NS.1996.002.NEBNext_methyl_i7_A01---NEBNext_methyl_i5_A01.XA","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064550","Pacific oyster","6044.66","1","61359468","18530559336","NS.1996.002.NEBNext_methyl_i7_A01---NEBNext_methyl_i5_A01.XA","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685455","NS.1996.002.NEBNext_methyl_i7_D01---NEBNext_methyl_i5_D01.X40","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064559","Pacific oyster","7097.97","1","71624117","21630483334","NS.1996.002.NEBNext_methyl_i7_D01---NEBNext_methyl_i5_D01.X40","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685464","NS.1996.002.NEBNext_methyl_i7_F12---NEBNext_methyl_i5_F12.XL","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064568","Pacific oyster","6511.03","1","65707566","19843684932","NS.1996.002.NEBNext_methyl_i7_F12---NEBNext_methyl_i5_F12.XL","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685447","NS.1996.002.NEBNext_methyl_i7_A02---NEBNext_methyl_i5_A02.XE","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064551","Pacific oyster","8961.71","1","91343928","27585866256","NS.1996.002.NEBNext_methyl_i7_A02---NEBNext_methyl_i5_A02.XE","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685462","NS.1996.002.NEBNext_methyl_i7_F02---NEBNext_methyl_i5_F02.X37","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064566","Pacific oyster","8706.05","1","88863684","26836832568","NS.1996.002.NEBNext_methyl_i7_F02---NEBNext_methyl_i5_F02.X37","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685467","NS.1996.002.NEBNext_methyl_i7_G12---NEBNext_methyl_i5_G12.X43","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064571","Pacific oyster","11101.83","1","114987092","34726101784","NS.1996.002.NEBNext_methyl_i7_G12---NEBNext_methyl_i5_G12.X43","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685448","NS.1996.002.NEBNext_methyl_i7_A03---NEBNext_methyl_i5_A03.XI","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064552","Pacific oyster","7884.93","1","80866589","24421709878","NS.1996.002.NEBNext_methyl_i7_A03---NEBNext_methyl_i5_A03.XI","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685450","NS.1996.002.NEBNext_methyl_i7_B02---NEBNext_methyl_i5_B02.X32","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064554","Pacific oyster","7764.19","1","78676948","23760438296","NS.1996.002.NEBNext_methyl_i7_B02---NEBNext_methyl_i5_B02.X32","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685454","NS.1996.002.NEBNext_methyl_i7_C03---NEBNext_methyl_i5_C03.XJ","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064558","Pacific oyster","7916.15","1","81667318","24663530036","NS.1996.002.NEBNext_methyl_i7_C03---NEBNext_methyl_i5_C03.XJ","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685453","NS.1996.002.NEBNext_methyl_i7_C02---NEBNext_methyl_i5_C02.XF","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064557","Pacific oyster","7912.76","1","80593414","24339211028","NS.1996.002.NEBNext_methyl_i7_C02---NEBNext_methyl_i5_C02.XF","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685463","NS.1996.002.NEBNext_methyl_i7_F03---NEBNext_methyl_i5_F03.X26","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064567","Pacific oyster","8415.71","1","84093597","25396266294","NS.1996.002.NEBNext_methyl_i7_F03---NEBNext_methyl_i5_F03.X26","Bisulfite-Seq","GENOMIC","RANDOM PCR"
"ERX11685469","NS.1996.002.NEBNext_methyl_i7_H02---NEBNext_methyl_i5_H02.X25","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP143604","Methylseq of Crassostrea gigas for PESTO project, 2022","ERS17064573","Pacific oyster","6469.6","1","65320260","19726718520","NS.1996.002.NEBNext_methyl_i7_H02---NEBNext_methyl_i5_H02.X25","Bisulfite-Seq","GENOMIC","RANDOM PCR"
