Title,Citation Count,Abstract,PDF Link,Link,Author names,Author Names With Google Scholar,Snippet,ID
Dynamics of DNA methylomes underlie oyster development,74,"DNA methylation is a critical epigenetic regulator of development in mammals and social insects, but its significance in development outside these groups is not understood. Here we investigated the genome-wide dynamics of DNA methylation in a mollusc model, the oyster Crassostrea gigas, from the egg to the completion of organogenesis. Large-scale methylation maps reveal that the oyster genome displays a succession of methylated and non methylated regions, which persist throughout development. Differentially methylated regions (DMRs) are strongly regulated during cleavage and metamorphosis. The distribution and levels of methylated DNA within genomic features (exons, introns, promoters, repeats and transposons) show different developmental lansdscapes marked by a strong increase in the methylation of exons against introns after metamorphosis. Kinetics of methylation in gene-bodies correlate to their transcription regulation and to distinct functional gene clusters, and DMRs at cleavage and metamorphosis bear the genes functionally related to these steps, respectively. This study shows that DNA methylome dynamics underlie development through transcription regulation in the oyster, a lophotrochozoan species. To our knowledge, this is the first demonstration of such epigenetic regulation outside vertebrates and ecdysozoan models, bringing new insights into the evolution and the epigenetic regulation of developmental processes.",https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1006807&type=printable,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006807,"G Riviere, S Tecchio, M Gras","G Riviere:https://scholar.google.com/citations?user=0iXF74wAAAAJ&hl=en&num=20&oi=sra
S Tecchio:https://scholar.google.com/citations?user=z2QvD60AAAAJ&hl=en&num=20&oi=sra
M Gras:https://scholar.google.com/citations?user=RtDifBkAAAAJ&hl=en&num=20&oi=sra","… Here we investigated the genome-wide dynamics of DNA methylation in a mollusc model, the oyster Crassostrea gigas, from the egg to the completion of organogenesis. Large-scale …",ZtylhW2sVLkJ
Characterizing the Epigenetic and Transcriptomic Responses to Perkinsus marinus Infection in the Eastern Oyster Crassostrea virginica,27,"Eastern oyster populations in the northern Gulf of Mexico are routinely infected with the protistan parasite Perkinsus marinus, the cause of the disease commonly known as dermo. Recent experimental challenges among Atlantic coast populations have identified both resistant and susceptible genotypes using comparative transcriptomics. While controlled experimental challenges are essential first assessments, expanding this analysis to field reared individuals provides an opportunity to identify key genomic signatures of infection that appear both in the laboratory and in the field. In this study we combined reduced representation bisulfite sequencing with 3’ RNA sequencing (Tag-seq) to describe two molecular phenotypes associated with infection in oysters outplanted at a common garden field site. These combined approaches allowed us to examine changes in DNA methylation and gene expression for a large number of individuals (n=40) that developed infections during the course of a common garden outplant experiment. Our epigenetic analysis of DNA methylation identified significant changes in gene body methylation associated with increasing infection intensity, across genes associated with immune responses. There was a smaller transcriptomic response to increasing infection intensities with 32 genes showing differential expression, and 40 % of these genes were found to also be differentially methylated. While there was no clear pattern between direction of differential methylation and gene expression, there was a significant effect of percent methylation on gene-by-gene expression levels and the coefficient of variation in gene body methylation between treatments. These results show that heavily methylated genes have high levels of gene expression with low levels of variation. Comparing our differential expression results with previously published experimental P. marinus challenges identified overlapping expression patterns for genes associated with C1q-domain-containing and V-type proton ATPase proteins. Through our comparative transcriptomic approach using field reared individuals and co-expression network analysis we have also been able to identify a network of genes that change in expression in response to infection. These combined analyses provide evidence for a conserved response to P. marinus infections and suggest that gene body DNA methylation is a better predictor of gene expression variation than it is of the overall magnitude of gene expression.",https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2020.00598/pdf,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2020.00598/full,"KM Johnson, KA Sirovy","KM Johnson:https://scholar.google.com/citations?user=THvdzn4AAAAJ&hl=en&num=20&oi=sra
KA Sirovy:https://scholar.google.com/citations?user=2Xurl2kAAAAJ&hl=en&num=20&oi=sra","… Our epigenetic analysis of DNA methylation identified … the majority of changes in DNA methylation in response to … infection methylome); or, that these changes in DNA methylation are …",LGjE_VajME0J
Differential DNA methylation in Pacific oyster reproductive tissue in response to ocean acidification,17,"Abstract Background There is a need to investigate mechanisms of phenotypic plasticity in marine invertebrates as negative effects of climate change, like ocean acidification, are experienced by coastal ecosystems. Environmentally-induced changes to the methylome may regulate gene expression, but methylome responses can be species- and tissue-specific. Tissue-specificity has implications for gonad tissue, as gonad-specific methylation patterns may be inherited by offspring. We used the Pacific oyster ( Crassostrea gigas) — a model for understanding pH impacts on bivalve molecular physiology due to its genomic resources and importance in global aquaculture— to assess how low pH could impact the gonad methylome. Oysters were exposed to either low pH (7.31 ± 0.02) or ambient pH (7.82 ± 0.02) conditions for seven weeks. Whole genome bisulfite sequencing was used to identify methylated regions in female oyster gonad samples. C-&gt;T single nucleotide polymorphisms were identified and removed to ensure accurate methylation characterization. Results Analysis of gonad methylomes revealed a total of 1,284 differentially methylated loci (DML) found primarily in genes, with several genes containing multiple DML. Gene ontologies for genes containing DML were involved in development and stress response, suggesting methylation may promote gonad growth homeostasis in low pH conditions. Additionally, several of these genes were associated with cytoskeletal structure regulation, metabolism, and protein ubiquitination — commonly-observed responses to ocean acidification. Comparison of these DML with other Crassostrea spp. exposed to ocean acidification demonstrates that similar pathways, but not identical genes, are impacted by methylation. Conclusions Our work suggests DNA methylation may have a regulatory role in gonad and larval development, which would shape adult and offspring responses to low pH stress. Combined with existing molluscan methylome research, our work further supports the need for tissue- and species-specific studies to understand the potential regulatory role of DNA methylation. ",https://link.springer.com/content/pdf/10.1186/s12864-022-08781-5.pdf,https://link.springer.com/article/10.1186/s12864-022-08781-5,"YR Venkataraman, SB Roberts","YR Venkataraman:https://scholar.google.com/citations?user=x9WA39wAAAAJ&hl=en&num=20&oi=sra
SB Roberts:https://scholar.google.com/citations?user=aAoYWVUAAAAJ&hl=en&num=20&oi=sra","… the methylome may regulate gene expression, but methylome … We used the Pacific oyster (Crassostrea gigas) — a model … methylome in order to not only understand DNA methylation as …",fMC1_-ctuAMJ
The association between DNA methylation and exon expression in the Pacific oyster Crassostrea gigas,64,"Background 
DNA methylation is one of the most important epigenetic modifications of eukaryotic genomes and is believed to play integral roles in diverse biological processes Although DNA methylation has been well studied in mammals, data are limited in invertebrates, particularly Mollusca The Pacific oyster Crassostrea gigas is an emerging genetic model for functional analysis of DNA methylation in Mollusca Recent studies have shown that there is a positive association between methylation status and gene expression in C gigas; however, whether this association exists at the exon level remains to be determined


Results 
In this study, we characterized the genome-wide methylation pattern across two different tissues of C gigas and found that methylated genes are expressed in more tissues and development stages than unmethylated genes Furthermore, we found that different types of exons had different methylation levels, with the lowest methylation levels in the first exons, followed by the last exons, and the internal exons We found that the exons included in the gene transcript contained significantly higher DNA methylation levels than skipped exons We observed that the DNA methylation levels increased slowly after the start sites and end sites of exons seperately, and then decreased quickly towards the middle sites of exons We also found that methylated exons were significantly longer than unmethylated exons


Conclusion 
This study constitutes the first genome-wide analysis to show an association between exon-level DNA methylation and mRNA expression in the oyster Our findings suggest that exon-level DNA methylation may play a role in the construction of alternative splicing by positively influencing exon inclusion during transcription",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0185224&type=printable,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185224,,,… first genome-wide analysis to show an association between exon-level DNA methylation and … Our findings suggest that exon-level DNA methylation may play a role in the construction of …,xEjeC81ZXFYJ
"Genome-Wide Analysis of DNA Methylation in Five Tissues of Zhikong Scallop, Chlamys farreri",60,"DNA methylation plays a vital role in tissue development and differentiation in eukaryotes. Epigenetic studies have been seldom conducted in the extremely diverse and evolutionarily highly successful bilaterian lineage Mollusca. In the present study, we conducted the genome-wide profiling of DNA methylation for five tissues of a bivalve mollusc, Chlamys farreri using the methylation-sensitive amplification polymorphism (MSAP) technique. The methylation levels were quite similar among tissues, ranging from 20.9% to 21.7%. CG methylation was the dominant type (14.9%–16.5%) in the C. farreri genome, but CHG methylation also accounted for a substantial fraction of total methylation (5.1%–6.3%). Relatively high methylation diversity was observed within tissues. Methylation differentiation between tissues was evaluated and 460 tissue-specific epiloci were identified. Kidney differs from the other tissues in DNA methylation profiles. Our study presents the first look at the tissue-specific DNA methylation patterns in a bivalve mollusc and represents an initial step towards understanding of epigenetic regulatory mechanism underlying tissue development and differentiation in bivalves.",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0086232&type=printable,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0086232,"S Wang, C Wang","S Wang:https://scholar.google.com/citations?user=vYO7huAAAAAJ&hl=en&num=20&oi=sra
C Wang:https://scholar.google.com/citations?user=Q2-9VWsAAAAJ&hl=en&num=20&oi=sra","… In the present study, we conducted the genome-wide profiling of DNA methylation for … in DNA methylation profiles. Our study presents the first look at the tissue-specific DNA methylation …",kp0016Z0M5UJ
DNA methylation frequency and epigenetic variability of the Pacific oyster Crassostrea gigas in relation to the gametogenesis,16,"The origin and maintenance of sexual gametogenesis might provide insights into eukaryote evolution. Epigenetic variation of eukaryote well-being would provide clues that could relate ecological and evolutionary processes. To investigate the relationship between gametogenic variability and epigenetic polymorphism in the Pacific oyster Crassostrea gigas, DNA methylation differences were represented by analyzing genome-wide methylation patterns using the fluorescent-labeled methylation sensitive-amplified polymorphism (F-MSAP) technique. The C. gigas genome was widely methylated and marked variations in the pattern of methylation were shown during female and male gonad development. Statistically, the total methylation level increased from early developing stage to resorbing stage, from 28.86 to 34.53% in ovaries, while it increased from 31.20 to 35.46% in this period in testes. The unweighted pair group method with arithmetic mean and principal coordinate analysis separated the C. gigas during female and male gonad development remarkably well, indicating remarkable differences across gametogenesis between ovaries and testes. Variation was higher in testes than in ovaries by the frequency based and multivariate analyses above. Both multivariate analyses and a significantly different population epigenetic structure suggested that a striking difference might exist across gametogenesis, reflecting a turning point of the methylation mechanism during reproductive progress. This study provides some information on the role of DNA methylation in the potential mechanism during female and male gonad development.",https://scxy.ouc.edu.cn/_upload/article/files/7c/2b/8a809f4646f99a702f94fbd591ba/cb4477d9-46ff-4cb5-b177-7617fd6ff166.pdf,https://link.springer.com/article/10.1007/s12562-018-1214-5,Q Li,Q Li:https://scholar.google.com/citations?user=V_uld5gAAAAJ&hl=en&num=20&oi=sra,"… In this study, we assessed genome-wide DNA methylation differentiation during C. gigas gametogenesis using the fluorescent-labeled methylation-sensitive amplified polymorphism (F-…",o265qqa_AIAJ
Transgenerational effects of intertidal environment on physiological phenotypes and DNA methylation in Pacific oysters,23,,,https://www.sciencedirect.com/science/article/pii/S0048969723007283,,,"… In this study, wild Pacific oysters (Crassostrea gigas), which were collected from intertidal … Genomic DNA methylation exhibited heritable divergence between intertidal and subtidal …",-INFH86ZwbQJ
Direct and heritable effects of natural tidal environments on DNA methylation in Pacific oysters (Crassostrea gigas),23,,,https://www.sciencedirect.com/science/article/pii/S0013935121003522,,,"… Recent studies have shown that DNA methylation is a mechanism by which organisms can modulate current and future generations to cope with rapid environmental changes. Here, an …",7OVvZiV6XnEJ
DNA methylation differences between male and female gonads of the oyster reveal the role of epigenetics in sex determination,42,,https://scxy.ouc.edu.cn/_upload/article/files/b5/05/7d009316423290f5956523f3e1b7/1fae1939-ee3c-4217-b2c1-0eb39757dbde.pdf,https://www.sciencedirect.com/science/article/pii/S0378111922000798,Q Li,Q Li:https://scholar.google.com/citations?user=V_uld5gAAAAJ&hl=en&num=20&oi=sra,"… Here, methylome of the male and female gonads in the oyster Crassostrea gigas were … Comparative analysis of gonadal DNA methylation of females and males revealed that male …",DmWmM9klYB8J
Epigenetic variation mediated by lncRNAs accounts for adaptive genomic differentiation of the endemic blue mussel Mytilus chilensis,2,"Epigenetic variation affects gene expression without altering the underlying DNA sequence of genes controlling ecologically relevant phenotypes through different mechanisms, one of which is long non-coding RNAs (lncRNAs). This study identified and evaluated the gene expression of lncRNAs in the gill and mantle tissues of Mytilus chilensis individuals from two ecologically different sites: Cochamó (41°S) and Yaldad (43°S), southern Chile, both impacted by climatic-related conditions and by mussel farming given their use as seedbeds. Sequences identified as lncRNAs exhibited tissue-specific differences, mapping to 3.54 % of the gill transcriptome and 1.96 % of the mantle transcriptome, representing an average of 2.76 % of the whole transcriptome. Using a high fold change value (≥|100|), we identified 43 and 47 differentially expressed lncRNAs (DE-lncRNAs) in the gill and mantle tissue of individuals sampled from Cochamó and 21 and 17 in the gill and mantle tissue of individuals sampled from Yaldad. Location-specific DE-lncRNAs were also detected in Cochamó (65) and Yaldad (94) samples. Via analysis of the differential expression of neighboring protein-coding genes, we identified enriched GO terms related to metabolic, genetic, and environmental information processing and immune system functions, reflecting how the impact of local ecological conditions may influence the M. chilensis (epi)genome expression. These DE-lncRNAs represent complementary biomarkers to DNA sequence variation for maintaining adaptive differences and phenotypic plasticity to cope with natural and human-driven perturbations. ",,https://www.cell.com/heliyon/fulltext/S2405-8440(23)10903-0?uuid=uuid%3A35875695-b2ff-4c45-adb1-2524496dc66a,"C Gallardo-Escárate, G Gajardo","C Gallardo-Escárate:https://scholar.google.com/citations?user=XZTOceYAAAAJ&hl=en&num=20&oi=sra
G Gajardo:https://scholar.google.com/citations?user=vEXB1SQAAAAJ&hl=en&num=20&oi=sra",… This study identified and evaluated the gene expression of lncRNAs in the gill and mantle tissues of Mytilus chilensis individuals from two ecologically different sites: Cochamó (41S) …,malqxGtRPd0J
